NELE,lon,lat,Area_m2
541,-82.91123223,41.86634984,2501236.2
542,-82.91285833,41.87564641,2527097.2
543,-82.90247587,41.88010629,2636973.2
544,-82.90372113,41.88954804,2591118.5
545,-82.89322227,41.89441426,2706526
546,-82.88149647,41.89006295,2641251.3
547,-82.87091047,41.89555264,2742672.2
548,-82.8723278,41.90520103,2729540.5
549,-82.8619068,41.91102371,2825016.2
550,-82.84980803,41.90736731,2757646.9
551,-82.83932583,41.91369226,2849908
552,-82.84146823,41.92345991,2846166.1
553,-82.83144353,41.9300512,2941967.6
554,-82.8330434,41.94004985,2928772.7
555,-82.82182227,41.94718955,3004313.4
556,-82.8223132,41.95750294,2972026.4
557,-82.8110894,41.9650691,3046302.5
558,-82.81290353,41.9751852,2984013.8
559,-82.8030918,41.98289174,3069885.7
560,-82.80529057,41.99296078,2962188.3
561,-82.79479117,42.0014051,3017460.9
562,-83.32514047,41.90526791,3252167.2
563,-83.32301547,41.89393737,2667594
564,-83.3123332,41.88826147,2614483.2
565,-83.31216063,41.87811284,2263159.6
566,-83.3037682,41.87170099,2182982.3
567,-83.29468253,41.87449505,2165756.8
568,-83.28759277,41.86693048,2095780.7
569,-83.27868513,41.86922907,2177312.2
570,-83.2719715,41.86141206,2086122.3
571,-83.26276453,41.86343989,2182276.6
572,-83.25991527,41.87304007,2154086.3
573,-83.2498334,41.87438019,2314727.6
574,-83.2430012,41.86660825,2129821.2
575,-83.23238837,41.86776184,2246844.1
576,-83.22485537,41.86093559,2088553.5
577,-83.2130495,41.86248512,2153076
578,-83.2051146,41.85598885,2162841.5
579,-83.19358353,41.85724525,2154055.2
580,-83.1875691,41.84979489,2155494.5
581,-83.17756623,41.85045265,2124125.9
582,-83.1725381,41.84243929,2153310.8
583,-83.16207577,41.84340743,2175994.3
584,-83.15680297,41.83537076,2209125.1
585,-83.14676853,41.83615949,2123283.4
586,-83.1408042,41.82831145,2270687.1
587,-83.12955717,41.82997049,2399888.3
588,-83.12090643,41.82429577,2223106.7
589,-83.12291123,41.81651644,2221821.3
